Question,Answer
Pine ISA Living thing,Yes
Pine ISA Plant,Yes
Pine ISA Animal,No
Pine ISA Tree,Yes
Pine ISA Flower,No
Pine ISA Bird,No
Pine ISA Fish,No
Pine ISA Pine,Yes
Pine ISA Oak,No
Pine ISA Rose,No
Pine ISA Daisy,No
Pine ISA Robin,No
Pine ISA Canary,No
Pine ISA Sunfish,No
Pine ISA Salmon,No
Pine ISA Pretty,No
Pine ISA Big,No
Pine ISA Living,No
Pine ISA Green,No
Pine ISA Red,No
Pine ISA Yellow,No
Pine ISA Grow,No
Pine ISA Move,No
Pine ISA Swim,No
Pine ISA Fly,No
Pine ISA Sing,No
Pine ISA Skin,No
Pine ISA Roots,No
Pine ISA Leaves,No
Pine ISA Bark,No
Pine ISA Branch,No
Pine ISA Petals,No
Pine ISA Wings,No
Pine ISA Feathers,No
Pine ISA Gills,No
Pine ISA Scales,No
Pine Is Living thing,No
Pine Is Plant,No
Pine Is Animal,No
Pine Is Tree,No
Pine Is Flower,No
Pine Is Bird,No
Pine Is Fish,No
Pine Is Pine,No
Pine Is Oak,No
Pine Is Rose,No
Pine Is Daisy,No
Pine Is Robin,No
Pine Is Canary,No
Pine Is Sunfish,No
Pine Is Salmon,No
Pine Is Pretty,No
Pine Is Big,Yes
Pine Is Living,Yes
Pine Is Green,Yes
Pine Is Red,No
Pine Is Yellow,No
Pine Is Grow,No
Pine Is Move,No
Pine Is Swim,No
Pine Is Fly,No
Pine Is Sing,No
Pine Is Skin,No
Pine Is Roots,No
Pine Is Leaves,No
Pine Is Bark,No
Pine Is Branch,No
Pine Is Petals,No
Pine Is Wings,No
Pine Is Feathers,No
Pine Is Gills,No
Pine Is Scales,No
Pine Can Living thing,No
Pine Can Plant,No
Pine Can Animal,No
Pine Can Tree,No
Pine Can Flower,No
Pine Can Bird,No
Pine Can Fish,No
Pine Can Pine,No
Pine Can Oak,No
Pine Can Rose,No
Pine Can Daisy,No
Pine Can Robin,No
Pine Can Canary,No
Pine Can Sunfish,No
Pine Can Salmon,No
Pine Can Pretty,No
Pine Can Big,No
Pine Can Living,No
Pine Can Green,No
Pine Can Red,No
Pine Can Yellow,No
Pine Can Grow,Yes
Pine Can Move,No
Pine Can Swim,No
Pine Can Fly,No
Pine Can Sing,No
Pine Can Skin,No
Pine Can Roots,No
Pine Can Leaves,No
Pine Can Bark,No
Pine Can Branch,No
Pine Can Petals,No
Pine Can Wings,No
Pine Can Feathers,No
Pine Can Gills,No
Pine Can Scales,No
Pine Has Living thing,No
Pine Has Plant,No
Pine Has Animal,No
Pine Has Tree,No
Pine Has Flower,No
Pine Has Bird,No
Pine Has Fish,No
Pine Has Pine,No
Pine Has Oak,No
Pine Has Rose,No
Pine Has Daisy,No
Pine Has Robin,No
Pine Has Canary,No
Pine Has Sunfish,No
Pine Has Salmon,No
Pine Has Pretty,No
Pine Has Big,No
Pine Has Living,No
Pine Has Green,No
Pine Has Red,No
Pine Has Yellow,No
Pine Has Grow,No
Pine Has Move,No
Pine Has Swim,No
Pine Has Fly,No
Pine Has Sing,No
Pine Has Skin,No
Pine Has Roots,Yes
Pine Has Leaves,No
Pine Has Bark,Yes
Pine Has Branch,Yes
Pine Has Petals,No
Pine Has Wings,No
Pine Has Feathers,No
Pine Has Gills,No
Pine Has Scales,No
Oak ISA Living thing,Yes
Oak ISA Plant,Yes
Oak ISA Animal,No
Oak ISA Tree,Yes
Oak ISA Flower,No
Oak ISA Bird,No
Oak ISA Fish,No
Oak ISA Pine,No
Oak ISA Oak,Yes
Oak ISA Rose,No
Oak ISA Daisy,No
Oak ISA Robin,No
Oak ISA Canary,No
Oak ISA Sunfish,No
Oak ISA Salmon,No
Oak ISA Pretty,No
Oak ISA Big,No
Oak ISA Living,No
Oak ISA Green,No
Oak ISA Red,No
Oak ISA Yellow,No
Oak ISA Grow,No
Oak ISA Move,No
Oak ISA Swim,No
Oak ISA Fly,No
Oak ISA Sing,No
Oak ISA Skin,No
Oak ISA Roots,No
Oak ISA Leaves,No
Oak ISA Bark,No
Oak ISA Branch,No
Oak ISA Petals,No
Oak ISA Wings,No
Oak ISA Feathers,No
Oak ISA Gills,No
Oak ISA Scales,No
Oak Is Living thing,No
Oak Is Plant,No
Oak Is Animal,No
Oak Is Tree,No
Oak Is Flower,No
Oak Is Bird,No
Oak Is Fish,No
Oak Is Pine,No
Oak Is Oak,No
Oak Is Rose,No
Oak Is Daisy,No
Oak Is Robin,No
Oak Is Canary,No
Oak Is Sunfish,No
Oak Is Salmon,No
Oak Is Pretty,No
Oak Is Big,Yes
Oak Is Living,Yes
Oak Is Green,No
Oak Is Red,No
Oak Is Yellow,No
Oak Is Grow,No
Oak Is Move,No
Oak Is Swim,No
Oak Is Fly,No
Oak Is Sing,No
Oak Is Skin,No
Oak Is Roots,No
Oak Is Leaves,No
Oak Is Bark,No
Oak Is Branch,No
Oak Is Petals,No
Oak Is Wings,No
Oak Is Feathers,No
Oak Is Gills,No
Oak Is Scales,No
Oak Can Living thing,No
Oak Can Plant,No
Oak Can Animal,No
Oak Can Tree,No
Oak Can Flower,No
Oak Can Bird,No
Oak Can Fish,No
Oak Can Pine,No
Oak Can Oak,No
Oak Can Rose,No
Oak Can Daisy,No
Oak Can Robin,No
Oak Can Canary,No
Oak Can Sunfish,No
Oak Can Salmon,No
Oak Can Pretty,No
Oak Can Big,No
Oak Can Living,No
Oak Can Green,No
Oak Can Red,No
Oak Can Yellow,No
Oak Can Grow,Yes
Oak Can Move,No
Oak Can Swim,No
Oak Can Fly,No
Oak Can Sing,No
Oak Can Skin,No
Oak Can Roots,No
Oak Can Leaves,No
Oak Can Bark,No
Oak Can Branch,No
Oak Can Petals,No
Oak Can Wings,No
Oak Can Feathers,No
Oak Can Gills,No
Oak Can Scales,No
Oak Has Living thing,No
Oak Has Plant,No
Oak Has Animal,No
Oak Has Tree,No
Oak Has Flower,No
Oak Has Bird,No
Oak Has Fish,No
Oak Has Pine,No
Oak Has Oak,No
Oak Has Rose,No
Oak Has Daisy,No
Oak Has Robin,No
Oak Has Canary,No
Oak Has Sunfish,No
Oak Has Salmon,No
Oak Has Pretty,No
Oak Has Big,No
Oak Has Living,No
Oak Has Green,No
Oak Has Red,No
Oak Has Yellow,No
Oak Has Grow,No
Oak Has Move,No
Oak Has Swim,No
Oak Has Fly,No
Oak Has Sing,No
Oak Has Skin,No
Oak Has Roots,Yes
Oak Has Leaves,Yes
Oak Has Bark,Yes
Oak Has Branch,Yes
Oak Has Petals,No
Oak Has Wings,No
Oak Has Feathers,No
Oak Has Gills,No
Oak Has Scales,No
Rose ISA Living thing,Yes
Rose ISA Plant,Yes
Rose ISA Animal,No
Rose ISA Tree,No
Rose ISA Flower,Yes
Rose ISA Bird,No
Rose ISA Fish,No
Rose ISA Pine,No
Rose ISA Oak,No
Rose ISA Rose,Yes
Rose ISA Daisy,No
Rose ISA Robin,No
Rose ISA Canary,No
Rose ISA Sunfish,No
Rose ISA Salmon,No
Rose ISA Pretty,No
Rose ISA Big,No
Rose ISA Living,No
Rose ISA Green,No
Rose ISA Red,No
Rose ISA Yellow,No
Rose ISA Grow,No
Rose ISA Move,No
Rose ISA Swim,No
Rose ISA Fly,No
Rose ISA Sing,No
Rose ISA Skin,No
Rose ISA Roots,No
Rose ISA Leaves,No
Rose ISA Bark,No
Rose ISA Branch,No
Rose ISA Petals,No
Rose ISA Wings,No
Rose ISA Feathers,No
Rose ISA Gills,No
Rose ISA Scales,No
Rose Is Living thing,No
Rose Is Plant,No
Rose Is Animal,No
Rose Is Tree,No
Rose Is Flower,No
Rose Is Bird,No
Rose Is Fish,No
Rose Is Pine,No
Rose Is Oak,No
Rose Is Rose,No
Rose Is Daisy,No
Rose Is Robin,No
Rose Is Canary,No
Rose Is Sunfish,No
Rose Is Salmon,No
Rose Is Pretty,Yes
Rose Is Big,No
Rose Is Living,Yes
Rose Is Green,No
Rose Is Red,Yes
Rose Is Yellow,No
Rose Is Grow,No
Rose Is Move,No
Rose Is Swim,No
Rose Is Fly,No
Rose Is Sing,No
Rose Is Skin,No
Rose Is Roots,No
Rose Is Leaves,No
Rose Is Bark,No
Rose Is Branch,No
Rose Is Petals,No
Rose Is Wings,No
Rose Is Feathers,No
Rose Is Gills,No
Rose Is Scales,No
Rose Can Living thing,No
Rose Can Plant,No
Rose Can Animal,No
Rose Can Tree,No
Rose Can Flower,No
Rose Can Bird,No
Rose Can Fish,No
Rose Can Pine,No
Rose Can Oak,No
Rose Can Rose,No
Rose Can Daisy,No
Rose Can Robin,No
Rose Can Canary,No
Rose Can Sunfish,No
Rose Can Salmon,No
Rose Can Pretty,No
Rose Can Big,No
Rose Can Living,No
Rose Can Green,No
Rose Can Red,No
Rose Can Yellow,No
Rose Can Grow,Yes
Rose Can Move,No
Rose Can Swim,No
Rose Can Fly,No
Rose Can Sing,No
Rose Can Skin,No
Rose Can Roots,No
Rose Can Leaves,No
Rose Can Bark,No
Rose Can Branch,No
Rose Can Petals,No
Rose Can Wings,No
Rose Can Feathers,No
Rose Can Gills,No
Rose Can Scales,No
Rose Has Living thing,No
Rose Has Plant,No
Rose Has Animal,No
Rose Has Tree,No
Rose Has Flower,No
Rose Has Bird,No
Rose Has Fish,No
Rose Has Pine,No
Rose Has Oak,No
Rose Has Rose,No
Rose Has Daisy,No
Rose Has Robin,No
Rose Has Canary,No
Rose Has Sunfish,No
Rose Has Salmon,No
Rose Has Pretty,No
Rose Has Big,No
Rose Has Living,No
Rose Has Green,No
Rose Has Red,No
Rose Has Yellow,No
Rose Has Grow,No
Rose Has Move,No
Rose Has Swim,No
Rose Has Fly,No
Rose Has Sing,No
Rose Has Skin,No
Rose Has Roots,Yes
Rose Has Leaves,Yes
Rose Has Bark,No
Rose Has Branch,No
Rose Has Petals,Yes
Rose Has Wings,No
Rose Has Feathers,No
Rose Has Gills,No
Rose Has Scales,No
Daisy ISA Living thing,Yes
Daisy ISA Plant,Yes
Daisy ISA Animal,No
Daisy ISA Tree,No
Daisy ISA Flower,Yes
Daisy ISA Bird,No
Daisy ISA Fish,No
Daisy ISA Pine,No
Daisy ISA Oak,No
Daisy ISA Rose,No
Daisy ISA Daisy,Yes
Daisy ISA Robin,No
Daisy ISA Canary,No
Daisy ISA Sunfish,No
Daisy ISA Salmon,No
Daisy ISA Pretty,No
Daisy ISA Big,No
Daisy ISA Living,No
Daisy ISA Green,No
Daisy ISA Red,No
Daisy ISA Yellow,No
Daisy ISA Grow,No
Daisy ISA Move,No
Daisy ISA Swim,No
Daisy ISA Fly,No
Daisy ISA Sing,No
Daisy ISA Skin,No
Daisy ISA Roots,No
Daisy ISA Leaves,No
Daisy ISA Bark,No
Daisy ISA Branch,No
Daisy ISA Petals,No
Daisy ISA Wings,No
Daisy ISA Feathers,No
Daisy ISA Gills,No
Daisy ISA Scales,No
Daisy Is Living thing,No
Daisy Is Plant,No
Daisy Is Animal,No
Daisy Is Tree,No
Daisy Is Flower,No
Daisy Is Bird,No
Daisy Is Fish,No
Daisy Is Pine,No
Daisy Is Oak,No
Daisy Is Rose,No
Daisy Is Daisy,No
Daisy Is Robin,No
Daisy Is Canary,No
Daisy Is Sunfish,No
Daisy Is Salmon,No
Daisy Is Pretty,Yes
Daisy Is Big,No
Daisy Is Living,Yes
Daisy Is Green,No
Daisy Is Red,No
Daisy Is Yellow,Yes
Daisy Is Grow,No
Daisy Is Move,No
Daisy Is Swim,No
Daisy Is Fly,No
Daisy Is Sing,No
Daisy Is Skin,No
Daisy Is Roots,No
Daisy Is Leaves,No
Daisy Is Bark,No
Daisy Is Branch,No
Daisy Is Petals,No
Daisy Is Wings,No
Daisy Is Feathers,No
Daisy Is Gills,No
Daisy Is Scales,No
Daisy Can Living thing,No
Daisy Can Plant,No
Daisy Can Animal,No
Daisy Can Tree,No
Daisy Can Flower,No
Daisy Can Bird,No
Daisy Can Fish,No
Daisy Can Pine,No
Daisy Can Oak,No
Daisy Can Rose,No
Daisy Can Daisy,No
Daisy Can Robin,No
Daisy Can Canary,No
Daisy Can Sunfish,No
Daisy Can Salmon,No
Daisy Can Pretty,No
Daisy Can Big,No
Daisy Can Living,No
Daisy Can Green,No
Daisy Can Red,No
Daisy Can Yellow,No
Daisy Can Grow,Yes
Daisy Can Move,No
Daisy Can Swim,No
Daisy Can Fly,No
Daisy Can Sing,No
Daisy Can Skin,No
Daisy Can Roots,No
Daisy Can Leaves,No
Daisy Can Bark,No
Daisy Can Branch,No
Daisy Can Petals,No
Daisy Can Wings,No
Daisy Can Feathers,No
Daisy Can Gills,No
Daisy Can Scales,No
Daisy Has Living thing,No
Daisy Has Plant,No
Daisy Has Animal,No
Daisy Has Tree,No
Daisy Has Flower,No
Daisy Has Bird,No
Daisy Has Fish,No
Daisy Has Pine,No
Daisy Has Oak,No
Daisy Has Rose,No
Daisy Has Daisy,No
Daisy Has Robin,No
Daisy Has Canary,No
Daisy Has Sunfish,No
Daisy Has Salmon,No
Daisy Has Pretty,No
Daisy Has Big,No
Daisy Has Living,No
Daisy Has Green,No
Daisy Has Red,No
Daisy Has Yellow,No
Daisy Has Grow,No
Daisy Has Move,No
Daisy Has Swim,No
Daisy Has Fly,No
Daisy Has Sing,No
Daisy Has Skin,No
Daisy Has Roots,Yes
Daisy Has Leaves,Yes
Daisy Has Bark,No
Daisy Has Branch,No
Daisy Has Petals,Yes
Daisy Has Wings,No
Daisy Has Feathers,No
Daisy Has Gills,No
Daisy Has Scales,No
Robin ISA Living thing,Yes
Robin ISA Plant,No
Robin ISA Animal,Yes
Robin ISA Tree,No
Robin ISA Flower,No
Robin ISA Bird,Yes
Robin ISA Fish,No
Robin ISA Pine,No
Robin ISA Oak,No
Robin ISA Rose,No
Robin ISA Daisy,No
Robin ISA Robin,Yes
Robin ISA Canary,No
Robin ISA Sunfish,No
Robin ISA Salmon,No
Robin ISA Pretty,No
Robin ISA Big,No
Robin ISA Living,No
Robin ISA Green,No
Robin ISA Red,No
Robin ISA Yellow,No
Robin ISA Grow,No
Robin ISA Move,No
Robin ISA Swim,No
Robin ISA Fly,No
Robin ISA Sing,No
Robin ISA Skin,No
Robin ISA Roots,No
Robin ISA Leaves,No
Robin ISA Bark,No
Robin ISA Branch,No
Robin ISA Petals,No
Robin ISA Wings,No
Robin ISA Feathers,No
Robin ISA Gills,No
Robin ISA Scales,No
Robin Is Living thing,No
Robin Is Plant,No
Robin Is Animal,No
Robin Is Tree,No
Robin Is Flower,No
Robin Is Bird,No
Robin Is Fish,No
Robin Is Pine,No
Robin Is Oak,No
Robin Is Rose,No
Robin Is Daisy,No
Robin Is Robin,No
Robin Is Canary,No
Robin Is Sunfish,No
Robin Is Salmon,No
Robin Is Pretty,No
Robin Is Big,No
Robin Is Living,Yes
Robin Is Green,No
Robin Is Red,Yes
Robin Is Yellow,No
Robin Is Grow,No
Robin Is Move,No
Robin Is Swim,No
Robin Is Fly,No
Robin Is Sing,No
Robin Is Skin,No
Robin Is Roots,No
Robin Is Leaves,No
Robin Is Bark,No
Robin Is Branch,No
Robin Is Petals,No
Robin Is Wings,No
Robin Is Feathers,No
Robin Is Gills,No
Robin Is Scales,No
Robin Can Living thing,No
Robin Can Plant,No
Robin Can Animal,No
Robin Can Tree,No
Robin Can Flower,No
Robin Can Bird,No
Robin Can Fish,No
Robin Can Pine,No
Robin Can Oak,No
Robin Can Rose,No
Robin Can Daisy,No
Robin Can Robin,No
Robin Can Canary,No
Robin Can Sunfish,No
Robin Can Salmon,No
Robin Can Pretty,No
Robin Can Big,No
Robin Can Living,No
Robin Can Green,No
Robin Can Red,No
Robin Can Yellow,No
Robin Can Grow,Yes
Robin Can Move,Yes
Robin Can Swim,No
Robin Can Fly,Yes
Robin Can Sing,No
Robin Can Skin,No
Robin Can Roots,No
Robin Can Leaves,No
Robin Can Bark,No
Robin Can Branch,No
Robin Can Petals,No
Robin Can Wings,No
Robin Can Feathers,No
Robin Can Gills,No
Robin Can Scales,No
Robin Has Living thing,No
Robin Has Plant,No
Robin Has Animal,No
Robin Has Tree,No
Robin Has Flower,No
Robin Has Bird,No
Robin Has Fish,No
Robin Has Pine,No
Robin Has Oak,No
Robin Has Rose,No
Robin Has Daisy,No
Robin Has Robin,No
Robin Has Canary,No
Robin Has Sunfish,No
Robin Has Salmon,No
Robin Has Pretty,No
Robin Has Big,No
Robin Has Living,No
Robin Has Green,No
Robin Has Red,No
Robin Has Yellow,No
Robin Has Grow,No
Robin Has Move,No
Robin Has Swim,No
Robin Has Fly,No
Robin Has Sing,No
Robin Has Skin,Yes
Robin Has Roots,No
Robin Has Leaves,No
Robin Has Bark,No
Robin Has Branch,No
Robin Has Petals,No
Robin Has Wings,Yes
Robin Has Feathers,Yes
Robin Has Gills,No
Robin Has Scales,No
Canary ISA Living thing,Yes
Canary ISA Plant,No
Canary ISA Animal,Yes
Canary ISA Tree,No
Canary ISA Flower,No
Canary ISA Bird,Yes
Canary ISA Fish,No
Canary ISA Pine,No
Canary ISA Oak,No
Canary ISA Rose,No
Canary ISA Daisy,No
Canary ISA Robin,No
Canary ISA Canary,Yes
Canary ISA Sunfish,No
Canary ISA Salmon,No
Canary ISA Pretty,No
Canary ISA Big,No
Canary ISA Living,No
Canary ISA Green,No
Canary ISA Red,No
Canary ISA Yellow,No
Canary ISA Grow,No
Canary ISA Move,No
Canary ISA Swim,No
Canary ISA Fly,No
Canary ISA Sing,No
Canary ISA Skin,No
Canary ISA Roots,No
Canary ISA Leaves,No
Canary ISA Bark,No
Canary ISA Branch,No
Canary ISA Petals,No
Canary ISA Wings,No
Canary ISA Feathers,No
Canary ISA Gills,No
Canary ISA Scales,No
Canary Is Living thing,No
Canary Is Plant,No
Canary Is Animal,No
Canary Is Tree,No
Canary Is Flower,No
Canary Is Bird,No
Canary Is Fish,No
Canary Is Pine,No
Canary Is Oak,No
Canary Is Rose,No
Canary Is Daisy,No
Canary Is Robin,No
Canary Is Canary,No
Canary Is Sunfish,No
Canary Is Salmon,No
Canary Is Pretty,No
Canary Is Big,No
Canary Is Living,Yes
Canary Is Green,No
Canary Is Red,No
Canary Is Yellow,Yes
Canary Is Grow,No
Canary Is Move,No
Canary Is Swim,No
Canary Is Fly,No
Canary Is Sing,No
Canary Is Skin,No
Canary Is Roots,No
Canary Is Leaves,No
Canary Is Bark,No
Canary Is Branch,No
Canary Is Petals,No
Canary Is Wings,No
Canary Is Feathers,No
Canary Is Gills,No
Canary Is Scales,No
Canary Can Living thing,No
Canary Can Plant,No
Canary Can Animal,No
Canary Can Tree,No
Canary Can Flower,No
Canary Can Bird,No
Canary Can Fish,No
Canary Can Pine,No
Canary Can Oak,No
Canary Can Rose,No
Canary Can Daisy,No
Canary Can Robin,No
Canary Can Canary,No
Canary Can Sunfish,No
Canary Can Salmon,No
Canary Can Pretty,No
Canary Can Big,No
Canary Can Living,No
Canary Can Green,No
Canary Can Red,No
Canary Can Yellow,No
Canary Can Grow,Yes
Canary Can Move,Yes
Canary Can Swim,No
Canary Can Fly,Yes
Canary Can Sing,Yes
Canary Can Skin,No
Canary Can Roots,No
Canary Can Leaves,No
Canary Can Bark,No
Canary Can Branch,No
Canary Can Petals,No
Canary Can Wings,No
Canary Can Feathers,No
Canary Can Gills,No
Canary Can Scales,No
Canary Has Living thing,No
Canary Has Plant,No
Canary Has Animal,No
Canary Has Tree,No
Canary Has Flower,No
Canary Has Bird,No
Canary Has Fish,No
Canary Has Pine,No
Canary Has Oak,No
Canary Has Rose,No
Canary Has Daisy,No
Canary Has Robin,No
Canary Has Canary,No
Canary Has Sunfish,No
Canary Has Salmon,No
Canary Has Pretty,No
Canary Has Big,No
Canary Has Living,No
Canary Has Green,No
Canary Has Red,No
Canary Has Yellow,No
Canary Has Grow,No
Canary Has Move,No
Canary Has Swim,No
Canary Has Fly,No
Canary Has Sing,No
Canary Has Skin,Yes
Canary Has Roots,No
Canary Has Leaves,No
Canary Has Bark,No
Canary Has Branch,No
Canary Has Petals,No
Canary Has Wings,Yes
Canary Has Feathers,Yes
Canary Has Gills,No
Canary Has Scales,No
Sunfish ISA Living thing,Yes
Sunfish ISA Plant,No
Sunfish ISA Animal,Yes
Sunfish ISA Tree,No
Sunfish ISA Flower,No
Sunfish ISA Bird,No
Sunfish ISA Fish,Yes
Sunfish ISA Pine,No
Sunfish ISA Oak,No
Sunfish ISA Rose,No
Sunfish ISA Daisy,No
Sunfish ISA Robin,No
Sunfish ISA Canary,No
Sunfish ISA Sunfish,Yes
Sunfish ISA Salmon,No
Sunfish ISA Pretty,No
Sunfish ISA Big,No
Sunfish ISA Living,No
Sunfish ISA Green,No
Sunfish ISA Red,No
Sunfish ISA Yellow,No
Sunfish ISA Grow,No
Sunfish ISA Move,No
Sunfish ISA Swim,No
Sunfish ISA Fly,No
Sunfish ISA Sing,No
Sunfish ISA Skin,No
Sunfish ISA Roots,No
Sunfish ISA Leaves,No
Sunfish ISA Bark,No
Sunfish ISA Branch,No
Sunfish ISA Petals,No
Sunfish ISA Wings,No
Sunfish ISA Feathers,No
Sunfish ISA Gills,No
Sunfish ISA Scales,No
Sunfish Is Living thing,No
Sunfish Is Plant,No
Sunfish Is Animal,No
Sunfish Is Tree,No
Sunfish Is Flower,No
Sunfish Is Bird,No
Sunfish Is Fish,No
Sunfish Is Pine,No
Sunfish Is Oak,No
Sunfish Is Rose,No
Sunfish Is Daisy,No
Sunfish Is Robin,No
Sunfish Is Canary,No
Sunfish Is Sunfish,No
Sunfish Is Salmon,No
Sunfish Is Pretty,No
Sunfish Is Big,No
Sunfish Is Living,Yes
Sunfish Is Green,No
Sunfish Is Red,No
Sunfish Is Yellow,Yes
Sunfish Is Grow,No
Sunfish Is Move,No
Sunfish Is Swim,No
Sunfish Is Fly,No
Sunfish Is Sing,No
Sunfish Is Skin,No
Sunfish Is Roots,No
Sunfish Is Leaves,No
Sunfish Is Bark,No
Sunfish Is Branch,No
Sunfish Is Petals,No
Sunfish Is Wings,No
Sunfish Is Feathers,No
Sunfish Is Gills,No
Sunfish Is Scales,No
Sunfish Can Living thing,No
Sunfish Can Plant,No
Sunfish Can Animal,No
Sunfish Can Tree,No
Sunfish Can Flower,No
Sunfish Can Bird,No
Sunfish Can Fish,No
Sunfish Can Pine,No
Sunfish Can Oak,No
Sunfish Can Rose,No
Sunfish Can Daisy,No
Sunfish Can Robin,No
Sunfish Can Canary,No
Sunfish Can Sunfish,No
Sunfish Can Salmon,No
Sunfish Can Pretty,No
Sunfish Can Big,No
Sunfish Can Living,No
Sunfish Can Green,No
Sunfish Can Red,No
Sunfish Can Yellow,No
Sunfish Can Grow,Yes
Sunfish Can Move,Yes
Sunfish Can Swim,Yes
Sunfish Can Fly,No
Sunfish Can Sing,No
Sunfish Can Skin,No
Sunfish Can Roots,No
Sunfish Can Leaves,No
Sunfish Can Bark,No
Sunfish Can Branch,No
Sunfish Can Petals,No
Sunfish Can Wings,No
Sunfish Can Feathers,No
Sunfish Can Gills,No
Sunfish Can Scales,No
Sunfish Has Living thing,No
Sunfish Has Plant,No
Sunfish Has Animal,No
Sunfish Has Tree,No
Sunfish Has Flower,No
Sunfish Has Bird,No
Sunfish Has Fish,No
Sunfish Has Pine,No
Sunfish Has Oak,No
Sunfish Has Rose,No
Sunfish Has Daisy,No
Sunfish Has Robin,No
Sunfish Has Canary,No
Sunfish Has Sunfish,No
Sunfish Has Salmon,No
Sunfish Has Pretty,No
Sunfish Has Big,No
Sunfish Has Living,No
Sunfish Has Green,No
Sunfish Has Red,No
Sunfish Has Yellow,No
Sunfish Has Grow,No
Sunfish Has Move,No
Sunfish Has Swim,No
Sunfish Has Fly,No
Sunfish Has Sing,No
Sunfish Has Skin,Yes
Sunfish Has Roots,No
Sunfish Has Leaves,No
Sunfish Has Bark,No
Sunfish Has Branch,No
Sunfish Has Petals,No
Sunfish Has Wings,No
Sunfish Has Feathers,No
Sunfish Has Gills,Yes
Sunfish Has Scales,Yes
Salmon ISA Living thing,Yes
Salmon ISA Plant,No
Salmon ISA Animal,Yes
Salmon ISA Tree,No
Salmon ISA Flower,No
Salmon ISA Bird,No
Salmon ISA Fish,Yes
Salmon ISA Pine,No
Salmon ISA Oak,No
Salmon ISA Rose,No
Salmon ISA Daisy,No
Salmon ISA Robin,No
Salmon ISA Canary,No
Salmon ISA Sunfish,No
Salmon ISA Salmon,Yes
Salmon ISA Pretty,No
Salmon ISA Big,No
Salmon ISA Living,No
Salmon ISA Green,No
Salmon ISA Red,No
Salmon ISA Yellow,No
Salmon ISA Grow,No
Salmon ISA Move,No
Salmon ISA Swim,No
Salmon ISA Fly,No
Salmon ISA Sing,No
Salmon ISA Skin,No
Salmon ISA Roots,No
Salmon ISA Leaves,No
Salmon ISA Bark,No
Salmon ISA Branch,No
Salmon ISA Petals,No
Salmon ISA Wings,No
Salmon ISA Feathers,No
Salmon ISA Gills,No
Salmon ISA Scales,No
Salmon Is Living thing,No
Salmon Is Plant,No
Salmon Is Animal,No
Salmon Is Tree,No
Salmon Is Flower,No
Salmon Is Bird,No
Salmon Is Fish,No
Salmon Is Pine,No
Salmon Is Oak,No
Salmon Is Rose,No
Salmon Is Daisy,No
Salmon Is Robin,No
Salmon Is Canary,No
Salmon Is Sunfish,No
Salmon Is Salmon,No
Salmon Is Pretty,No
Salmon Is Big,No
Salmon Is Living,Yes
Salmon Is Green,No
Salmon Is Red,Yes
Salmon Is Yellow,No
Salmon Is Grow,No
Salmon Is Move,No
Salmon Is Swim,No
Salmon Is Fly,No
Salmon Is Sing,No
Salmon Is Skin,No
Salmon Is Roots,No
Salmon Is Leaves,No
Salmon Is Bark,No
Salmon Is Branch,No
Salmon Is Petals,No
Salmon Is Wings,No
Salmon Is Feathers,No
Salmon Is Gills,No
Salmon Is Scales,No
Salmon Can Living thing,No
Salmon Can Plant,No
Salmon Can Animal,No
Salmon Can Tree,No
Salmon Can Flower,No
Salmon Can Bird,No
Salmon Can Fish,No
Salmon Can Pine,No
Salmon Can Oak,No
Salmon Can Rose,No
Salmon Can Daisy,No
Salmon Can Robin,No
Salmon Can Canary,No
Salmon Can Sunfish,No
Salmon Can Salmon,No
Salmon Can Pretty,No
Salmon Can Big,No
Salmon Can Living,No
Salmon Can Green,No
Salmon Can Red,No
Salmon Can Yellow,No
Salmon Can Grow,Yes
Salmon Can Move,Yes
Salmon Can Swim,Yes
Salmon Can Fly,No
Salmon Can Sing,No
Salmon Can Skin,No
Salmon Can Roots,No
Salmon Can Leaves,No
Salmon Can Bark,No
Salmon Can Branch,No
Salmon Can Petals,No
Salmon Can Wings,No
Salmon Can Feathers,No
Salmon Can Gills,No
Salmon Can Scales,No
Salmon Has Living thing,No
Salmon Has Plant,No
Salmon Has Animal,No
Salmon Has Tree,No
Salmon Has Flower,No
Salmon Has Bird,No
Salmon Has Fish,No
Salmon Has Pine,No
Salmon Has Oak,No
Salmon Has Rose,No
Salmon Has Daisy,No
Salmon Has Robin,No
Salmon Has Canary,No
Salmon Has Sunfish,No
Salmon Has Salmon,No
Salmon Has Pretty,No
Salmon Has Big,No
Salmon Has Living,No
Salmon Has Green,No
Salmon Has Red,No
Salmon Has Yellow,No
Salmon Has Grow,No
Salmon Has Move,No
Salmon Has Swim,No
Salmon Has Fly,No
Salmon Has Sing,No
Salmon Has Skin,Yes
Salmon Has Roots,No
Salmon Has Leaves,No
Salmon Has Bark,No
Salmon Has Branch,No
Salmon Has Petals,No
Salmon Has Wings,No
Salmon Has Feathers,No
Salmon Has Gills,Yes
Salmon Has Scales,Yes
